#Measurement       Height  [m]                 g [m/s^2]         dg [m/s^2] 
0                        0.0                    9.7907                0.01
1                      500.0                    9.7974                0.01
2                     1000.0                    9.7931                0.01
3                     1500.0                    9.8073                0.01
4                     2000.0                    9.7873                0.01
5                     2500.0                    9.7949                0.01
6                     3000.0                    9.7974                0.01
7                     3500.0                    9.7911                0.01
8                     4000.0                    9.8071                0.01
9                     4500.0                    9.7747                0.01
10                    5000.0                    9.7812                0.01
11                    5500.0                    9.7759                0.01
12                    6000.0                    9.7643                0.01
13                    6500.0                    9.7745                0.01
14                    7000.0                    9.7794                0.01
15                    7500.0                    9.7739                0.01
16                    8000.0                    9.7937                0.01
17                    8500.0                    9.7727                0.01
18                    9000.0                    9.7570                0.01
19                    9500.0                    9.7583                0.01
20                   10000.0                    9.7746                0.01
21                   10500.0                    9.7698                0.01
22                   11000.0                    9.7619                0.01
23                   11500.0                    9.7567                0.01
24                   12000.0                    9.7527                0.01
25                   12500.0                    9.7504                0.01
26                   13000.0                    9.7649                0.01
27                   13500.0                    9.7540                0.01
28                   14000.0                    9.7349                0.01
29                   14500.0                    9.7661                0.01
