#Measurement     Height  [m]                 g [m/s^2]          dg [m/s^2] 
0                       0.0                    9.820                0.05
1                     100.0                    9.829                0.05
2                     200.0                    9.851                0.05
3                     300.0                    9.806                0.05
4                     400.0                    9.756                0.05
5                     500.0                    9.796                0.05
6                     600.0                    9.763                0.05
7                     700.0                    9.848                0.05
8                     800.0                    9.806                0.05
9                     900.0                    9.842                0.05
10                   1000.0                    9.744                0.05
11                   1100.0                    9.779                0.05
12                   1200.0                    9.822                0.05
13                   1300.0                    9.709                0.05
14                   1400.0                    9.768                0.05
15                   1500.0                    9.736                0.05
16                   1600.0                    9.771                0.05
17                   1700.0                    9.876                0.05
18                   1800.0                    9.790                0.05
19                   1900.0                    9.751                0.05
