#Measurement       Height  [m]                 g [m/s^2]         dg [m/s^2] 
0                        0.0                    9.8129                0.02
1                      500.0                    9.8023                0.02
2                     1000.0                    9.7941                0.02
3                     1500.0                    9.7847                0.02
4                     2000.0                    9.8039                0.02
5                     2500.0                    9.7802                0.02
6                     3000.0                    9.8123                0.02
7                     3500.0                    9.7908                0.02
8                     4000.0                    9.7895                0.02
9                     4500.0                    9.7893                0.02
10                    5000.0                    9.7807                0.02
11                    5500.0                    9.8050                0.02
12                    6000.0                    9.7953                0.02
13                    6500.0                    9.8167                0.02
14                    7000.0                    9.7689                0.02
15                    7500.0                    9.8065                0.02
16                    8000.0                    9.7700                0.02
17                    8500.0                    9.7814                0.02
18                    9000.0                    9.7445                0.02
19                    9500.0                    9.7830                0.02
20                   10000.0                    9.7408                0.02
21                   10500.0                    9.7702                0.02
22                   11000.0                    9.7742                0.02
23                   11500.0                    9.7724                0.02
24                   12000.0                    9.7791                0.02
25                   12500.0                    9.7787                0.02
26                   13000.0                    9.7728                0.02
27                   13500.0                    9.7436                0.02
28                   14000.0                    9.7613                0.02
29                   14500.0                    9.7468                0.02
