#  x       y        dy
 0.00  0.926325  0.01000
 0.01  0.969710  0.01025
 0.02  0.950090  0.01050
 0.03  0.955206  0.01075
 0.04  0.951870  0.01100
 0.05  0.955489  0.01125
 0.06  0.948445  0.01150
 0.07  0.942558  0.01175
 0.08  0.947341  0.01200
 0.09  0.969659  0.01225
 0.10  0.951965  0.01250
 0.11  0.942420  0.01275
 0.12  0.951153  0.01300
 0.13  0.941828  0.01325
 0.14  0.949223  0.01350
 0.15  0.952463  0.01375
 0.16  0.968473  0.01400
 0.17  0.952835  0.01425
 0.18  0.956279  0.01450
 0.19  0.963420  0.01475
 0.20  0.929765  0.01500
 0.21  0.927791  0.01525
 0.22  0.953823  0.01550
 0.23  0.963605  0.01575
 0.24  0.936358  0.01600
 0.25  0.972665  0.01625
 0.26  0.974138  0.01650
 0.27  0.957116  0.01675
 0.28  0.940098  0.01700
 0.29  0.957673  0.01725
 0.30  0.953816  0.01750
 0.31  0.975105  0.01775
 0.32  0.991978  0.01800
 0.33  0.948143  0.01825
 0.34  0.922149  0.01850
 0.35  0.967906  0.01875
 0.36  0.984774  0.01900
 0.37  0.981800  0.01925
 0.38  0.941306  0.01950
 0.39  0.929977  0.01975
 0.40  0.942608  0.02000
 0.41  0.949322  0.02025
 0.42  0.947338  0.02050
 0.43  0.968461  0.02075
 0.44  0.938839  0.02100
 0.45  0.943155  0.02125
 0.46  0.965820  0.02150
 0.47  1.002621  0.02175
 0.48  0.998085  0.02200
 0.49  1.022760  0.02225
 0.50  0.950186  0.02250
 0.51  0.941540  0.02275
 0.52  0.985478  0.02300
 0.53  0.987188  0.02325
 0.54  1.017391  0.02350
 0.55  0.948396  0.02375
 0.56  0.989252  0.02400
 0.57  0.992005  0.02425
 0.58  0.982945  0.02450
 0.59  1.017240  0.02475
 0.60  0.959989  0.02500
 0.61  0.922330  0.02525
 0.62  0.982030  0.02550
 0.63  0.993264  0.02575
 0.64  1.002224  0.02600
 0.65  0.953260  0.02625
 0.66  1.016583  0.02650
 0.67  1.002147  0.02675
 0.68  0.971160  0.02700
 0.69  1.010215  0.02725
 0.70  1.030753  0.02750
 0.71  1.006112  0.02775
 0.72  1.009042  0.02800
 0.73  1.006994  0.02825
 0.74  0.991867  0.02850
 0.75  0.974559  0.02875
 0.76  0.964716  0.02900
 0.77  1.034087  0.02925
 0.78  1.017693  0.02950
 0.79  1.031982  0.02975
 0.80  0.987939  0.03000
 0.81  1.010792  0.03025
 0.82  1.031987  0.03050
 0.83  0.988587  0.03075
 0.84  1.020014  0.03100
 0.85  1.025590  0.03125
 0.86  1.088707  0.03150
 0.87  1.047256  0.03175
 0.88  1.080461  0.03200
 0.89  0.985588  0.03225
 0.90  1.029908  0.03250
 0.91  1.005667  0.03275
 0.92  1.055576  0.03300
 0.93  1.062870  0.03325
 0.94  1.023899  0.03350
 0.95  1.070931  0.03375
 0.96  1.037347  0.03400
 0.97  1.043421  0.03425
 0.98  1.044305  0.03450
 0.99  1.047342  0.03475
 1.00  1.031797  0.03500
